Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
11/27/2015,Debt collection,Federal student loan,False statements or representation,Attempted to collect wrong amount,,,Transworld Systems Inc.,VA,229XX,Web,11/28/2015,In progress,Yes,,1674382
11/27/2015,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,,,Transworld Systems Inc.,MI,48334,Web,11/28/2015,In progress,Yes,,1674367
11/27/2015,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,,,"Hunter Warfield, Inc.",DC,20024,Web,11/27/2015,In progress,Yes,,1674072
11/26/2015,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,,,"JH Portfolio Debt Equities, LLC",IL,60087,Web,11/27/2015,Closed,Yes,,1673300
11/26/2015,Consumer loan,Vehicle lease,Managing the loan or lease,,,,Nissan Motor Acceptance Corporation,OH,432XX,Web,11/27/2015,In progress,Yes,,1673304
11/25/2015,Bank account or service,Checking account,Deposits and withdrawals,,,,Navy FCU,GU,96915,Referral,11/27/2015,In progress,Yes,,1671912
11/25/2015,Credit reporting,,Incorrect information on credit report,Personal information,,Company believes complaint caused principally by actions of third party outside the control or direction of the company,"Credit Karma, Inc.",CA,93710,Web,11/25/2015,Closed with explanation,Yes,,1671523
11/25/2015,Credit reporting,,Incorrect information on credit report,Account terms,,,Equifax,NJ,089XX,Web,11/25/2015,In progress,Yes,,1671530
11/25/2015,Credit reporting,,Incorrect information on credit report,Account status,,,Equifax,CA,91745,Web,11/25/2015,Closed with explanation,Yes,Yes,1671320
11/25/2015,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Ocwen,FL,33442,Web,11/25/2015,Closed with explanation,Yes,,1671701
11/25/2015,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Not disclosed as an attempt to collect,,,Armcon Corp,CA,92254,Web,11/26/2015,Closed,Yes,,1672930
