Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
11/23/2015,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Equifax,TX,765XX,Web,11/23/2015,In progress,Yes,,1668605
11/23/2015,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,,,Equifax,WA,98370,Web,11/24/2015,Closed with explanation,Yes,,1669582
11/23/2015,Credit reporting,,Incorrect information on credit report,Personal information,,,Equifax,PA,15146,Web,11/24/2015,Closed with explanation,Yes,,1669607
11/23/2015,Credit card,,Advertising and marketing,,,,Amex,FL,327XX,Web,11/23/2015,Closed with explanation,Yes,,1668464
11/23/2015,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Bank of America,GA,31210,Web,11/23/2015,In progress,Yes,,1669331
11/23/2015,Credit reporting,,Credit reporting company's investigation,Investigation took too long,,,Equifax,MD,21117,Web,11/23/2015,In progress,Yes,,1667770
11/23/2015,Student loan,Non-federal student loan,Getting a loan,,,Company chooses not to provide a public response,Wells Fargo,NJ,083XX,Web,11/23/2015,Closed with explanation,Yes,Yes,1669481
11/23/2015,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,,,"Phoenix Health Care Management Services, Inc.",GA,31602,Web,11/23/2015,Closed with explanation,Yes,,1668692
11/23/2015,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,,,"Asset Management Outsourcing, Inc.",FL,333XX,Web,11/23/2015,Closed with explanation,Yes,Yes,1670887
11/23/2015,Credit reporting,,Unable to get credit report/credit score,Problem getting report or credit score,,Company chooses not to provide a public response,TransUnion,OH,44105,Web,11/23/2015,Closed with non-monetary relief,Yes,,1668156
11/23/2015,Credit reporting,,Incorrect information on credit report,Account status,,Company chooses not to provide a public response,TransUnion,AZ,853XX,Web,11/23/2015,Closed with explanation,Yes,,1668718
11/23/2015,Credit reporting,,Unable to get credit report/credit score,Problem getting report or credit score,,,Equifax,NY,11953,Web,11/23/2015,Closed with explanation,Yes,Yes,1668786
11/23/2015,Money transfers,Domestic (US) money transfer,Money was not available when promised,,,,Western Union,AK,995XX,Web,11/23/2015,Closed with explanation,Yes,,1668673
11/23/2015,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,,Company chooses not to provide a public response,U.S. Bancorp,MO,64070,Web,11/23/2015,Closed with explanation,Yes,,1667357
11/23/2015,Payday loan,,Charged fees or interest I didn't expect,,,Company believes it acted appropriately as authorized by contract or law,"CashCall, Inc.",CA,921XX,Web,11/23/2015,Closed with explanation,Yes,,1669484
11/23/2015,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,Company chooses not to provide a public response,Wells Fargo,NY,11553,Web,11/23/2015,Closed with explanation,Yes,,1669476
11/23/2015,Debt collection,Medical,Disclosure verification of debt,Not given enough info to verify debt,,Company chooses not to provide a public response,"ProCollect, Inc",TX,751XX,Web,11/24/2015,Closed with explanation,Yes,,1669594
11/23/2015,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,,,"Convergent Resources, Inc.",VA,22407,Referral,11/25/2015,Closed with explanation,Yes,,1668798
11/23/2015,Credit reporting,,Incorrect information on credit report,Account terms,,,Equifax,MI,482XX,Web,11/24/2015,Closed with explanation,Yes,Yes,1669466
11/23/2015,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt resulted from identity theft,,,Convergys,FL,32222,Web,11/23/2015,In progress,Yes,,1668780
11/23/2015,Consumer loan,Vehicle loan,Problems when you are unable to pay,,,,Navy FCU,VA,236XX,Web,11/24/2015,In progress,Yes,,1669577
11/23/2015,Consumer loan,Vehicle loan,Taking out the loan or lease,,,,Navy FCU,AZ,85246,Web,11/23/2015,In progress,Yes,,1668571
11/23/2015,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,,,Transworld Systems Inc.,FL,333XX,Web,11/24/2015,In progress,Yes,,1669565
11/23/2015,Bank account or service,Cashing a check without an account,Deposits and withdrawals,,,Company chooses not to provide a public response,Wells Fargo,PA,191XX,Web,11/24/2015,Closed with explanation,Yes,,1670916
11/23/2015,Consumer loan,Vehicle loan,Managing the loan or lease,,,,JPMorgan Chase,TX,773XX,Web,11/24/2015,Closed with explanation,Yes,,1671014
11/23/2015,Bank account or service,Checking account,"Making/receiving payments, sending money",,,,JPMorgan Chase,CA,900XX,Web,11/24/2015,Closed with explanation,Yes,,1670912
11/23/2015,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,,Company can't verify or dispute the facts in the complaint,"CCS Financial Services, Inc.",OR,97306,Referral,11/30/2015,Closed with explanation,Yes,,1668349
11/23/2015,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,,,"SKO Brenner American, Inc.",PA,191XX,Web,11/25/2015,Closed with explanation,Yes,,1667893
11/23/2015,Credit reporting,,Incorrect information on credit report,Personal information,,,Equifax,CA,92227,Web,11/23/2015,Closed with explanation,Yes,,1667527
11/23/2015,Credit reporting,,Incorrect information on credit report,Account status,,,"Early Warning Services, LLC",GA,30045,Web,11/23/2015,Closed with explanation,Yes,Yes,1667371
11/23/2015,Debt collection,Non-federal student loan,Cont'd attempts collect debt not owed,Debt was discharged in bankruptcy,,,Transworld Systems Inc.,MO,64093,Phone,11/30/2015,In progress,Yes,,1668414
11/23/2015,Credit reporting,,Incorrect information on credit report,Information is not mine,,Company chooses not to provide a public response,TransUnion,IL,61021,Web,11/23/2015,Closed with explanation,Yes,,1667773
11/23/2015,Credit reporting,,Incorrect information on credit report,Account terms,,,Equifax,VA,23002,Web,11/23/2015,In progress,Yes,,1668706
11/23/2015,Debt collection,Auto,Communication tactics,Used obscene/profane/abusive language,,Company chooses not to provide a public response,"American Collections Enterprise, Inc.",MD,20772,Web,11/23/2015,Closed with explanation,Yes,,1668417
11/23/2015,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,,,Equifax,WA,98133,Web,11/24/2015,Closed with explanation,Yes,,1669339
11/23/2015,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,,,Transworld Systems Inc.,FL,33145,Phone,11/27/2015,In progress,Yes,,1667808
11/23/2015,Debt collection,Medical,Disclosure verification of debt,Right to dispute notice not received,,Company chooses not to provide a public response,"WAKEFIELD & ASSOCIATES, INC.",CO,80044,Web,11/23/2015,Closed with explanation,Yes,Yes,1668845
11/23/2015,Debt collection,Medical,Disclosure verification of debt,Not given enough info to verify debt,,,"SCA Collections, Inc.",NM,87529,Web,11/23/2015,Closed with explanation,Yes,,1667325
11/23/2015,Debt collection,,Communication tactics,Frequent or repeated calls,,Company believes it acted appropriately as authorized by contract or law,Penn Credit Corporation,NJ,8043,Phone,11/25/2015,Closed with explanation,Yes,,1667634
11/23/2015,Debt collection,,Communication tactics,Frequent or repeated calls,,Company believes it acted appropriately as authorized by contract or law,"Maury Cobb, Attorney at Law, LLC",CO,80634,Web,11/23/2015,Closed with explanation,Yes,,1667877
11/23/2015,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Equifax,GA,30045,Web,11/23/2015,Closed with explanation,Yes,,1667368
11/23/2015,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,"Franklin Collection Service, Inc.",MI,494XX,Web,11/23/2015,Closed with explanation,Yes,,1668145
11/23/2015,Credit reporting,,Incorrect information on credit report,Personal information,,Company chooses not to provide a public response,TransUnion,NY,104XX,Web,11/23/2015,Closed with non-monetary relief,Yes,,1667535
11/23/2015,Credit card,,Late fee,,,,Discover,CA,930XX,Web,11/23/2015,Closed with explanation,Yes,,1667375
11/23/2015,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,,Company chooses not to provide a public response,TransUnion,IL,62002,Web,11/23/2015,Closed with non-monetary relief,Yes,,1668849
11/23/2015,Payday loan,,Charged bank acct wrong day or amt,,,,Speedy Cash Holdings,TX,750XX,Web,11/23/2015,Closed with explanation,Yes,,1667777
11/23/2015,Consumer loan,Installment loan,Problems when you are unable to pay,,,Company believes it acted appropriately as authorized by contract or law,"CashCall, Inc.",TX,750XX,Web,11/23/2015,Closed with explanation,Yes,,1669461
11/23/2015,Consumer loan,Vehicle lease,Taking out the loan or lease,,,,Ally Financial Inc.,NY,145XX,Web,11/23/2015,In progress,Yes,,1667876
11/23/2015,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,,,Equifax,IL,601XX,Web,11/23/2015,Closed with explanation,Yes,,1667849
11/23/2015,Debt collection,Medical,Communication tactics,Frequent or repeated calls,,Company believes it acted appropriately as authorized by contract or law,"JP Recovery Services, Inc.",MI,483XX,Web,11/23/2015,Closed,Yes,,1668119
11/23/2015,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,,,"United Collection Bureau, Inc.",NY,109XX,Web,11/23/2015,Closed with explanation,Yes,,1667935
11/23/2015,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,,,Equifax,NJ,070XX,Web,11/23/2015,Closed with explanation,Yes,,1668051
11/23/2015,Credit reporting,,Incorrect information on credit report,Personal information,,Company chooses not to provide a public response,TransUnion,TX,770XX,Web,11/23/2015,Closed with explanation,Yes,,1667965
11/23/2015,Credit reporting,,Incorrect information on credit report,Information is not mine,,Company chooses not to provide a public response,TransUnion,FL,329XX,Web,11/23/2015,Closed with explanation,Yes,,1667952
11/22/2015,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,,,Equifax,WA,98374,Web,11/22/2015,Closed with explanation,Yes,,1667259
11/22/2015,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Equifax,VA,20175,Web,11/22/2015,Closed with explanation,Yes,,1667283
11/22/2015,Debt collection,"Other (phone, health club, etc.)",Communication tactics,Threatened to take legal action,,,Transworld Systems Inc.,FL,32931,Web,11/23/2015,In progress,Yes,,1667482
11/22/2015,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,,,Equifax,WA,98374,Web,11/22/2015,Closed with explanation,Yes,,1667260
11/22/2015,Credit reporting,,Incorrect information on credit report,Public record,,,Equifax,NY,11550,Web,11/22/2015,In progress,Yes,,1667272
11/22/2015,Money transfers,International money transfer,Fraud or scam,,,,Xoom,MA,027XX,Web,11/25/2015,Closed with explanation,Yes,,1667132
11/22/2015,Credit reporting,,Incorrect information on credit report,Account status,,Company chooses not to provide a public response,TransUnion,VA,23504,Web,11/22/2015,Closed with explanation,Yes,,1667186
11/22/2015,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,,,Equifax,WA,98374,Web,11/22/2015,Closed with explanation,Yes,,1667257
11/22/2015,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,,,Equifax,WA,98374,Web,11/22/2015,Closed with explanation,Yes,,1667258
11/22/2015,Debt collection,Auto,Cont'd attempts collect debt not owed,Debt is not mine,,,Ally Financial Inc.,TX,77062,Web,11/25/2015,In progress,Yes,,1667293
11/22/2015,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Equifax,TX,77017,Web,11/23/2015,In progress,Yes,,1667499
11/22/2015,Credit reporting,,Incorrect information on credit report,Account status,,,Equifax,VA,23504,Web,11/22/2015,Closed with explanation,Yes,Yes,1667187
11/22/2015,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Equifax,IA,50010,Web,11/22/2015,Closed with explanation,Yes,,1667233
11/22/2015,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Ocwen,NV,89445,Web,11/22/2015,Closed with explanation,Yes,,1667216
11/22/2015,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,,,Equifax,WA,98374,Web,11/22/2015,Closed with explanation,Yes,,1667263
11/22/2015,Credit reporting,,Incorrect information on credit report,Personal information,,Company chooses not to provide a public response,TransUnion,VA,24502,Web,11/22/2015,Closed with non-monetary relief,Yes,,1667143
11/22/2015,Bank account or service,Checking account,"Account opening, closing, or management",,,Company chooses not to provide a public response,Wells Fargo,NV,89121,Web,11/22/2015,Closed with non-monetary relief,Yes,,1667300
11/22/2015,Mortgage,Conventional fixed mortgage,Settlement process and costs,,,,Ocwen,GA,30052,Web,11/22/2015,Closed with explanation,Yes,,1667316
11/22/2015,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,,,Equifax,WA,98374,Web,11/22/2015,Closed with explanation,Yes,,1667262
11/22/2015,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,,,Equifax,WA,98374,Web,11/22/2015,Closed with explanation,Yes,,1667264
11/22/2015,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,,,Equifax,WA,98374,Web,11/22/2015,Closed with explanation,Yes,,1667265
11/22/2015,Consumer loan,Vehicle loan,Taking out the loan or lease,,,,American Honda Finance Corporation,TX,78526,Web,11/23/2015,Closed with explanation,Yes,,1667503
11/22/2015,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt is not mine,,Company believes it acted appropriately as authorized by contract or law,"CL Holdings, LLC",WA,98253,Web,11/22/2015,Closed with explanation,Yes,,1667129
11/22/2015,Credit reporting,,Incorrect information on credit report,Information is not mine,,Company chooses not to provide a public response,TransUnion,IA,50010,Web,11/22/2015,Closed with non-monetary relief,Yes,,1667235
11/22/2015,Credit card,,Billing disputes,,,,JPMorgan Chase,NY,10010,Web,11/22/2015,Closed with explanation,Yes,,1667310
11/22/2015,Credit reporting,,Incorrect information on credit report,Personal information,,,Equifax,GA,30815,Web,11/22/2015,Closed with explanation,Yes,,1667182
11/22/2015,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,,,Equifax,WA,98374,Web,11/22/2015,Closed with explanation,Yes,,1667261
11/22/2015,Credit reporting,,Credit monitoring or identity protection,Problem cancelling or closing account,,,TransUnion,CA,92658,Web,11/22/2015,In progress,Yes,,1667097
11/22/2015,Mortgage,Home equity loan or line of credit,Credit decision / Underwriting,,,Company chooses not to provide a public response,U.S. Bancorp,MN,55447,Web,11/23/2015,Closed with explanation,Yes,Yes,1667203
11/22/2015,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,,Company believes it acted appropriately as authorized by contract or law,"GLA Collection Company, Inc.",IN,479XX,Web,11/22/2015,Closed with explanation,Yes,,1667202
11/22/2015,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,,,Equifax,MD,20716,Web,11/23/2015,In progress,Yes,,1667386
11/22/2015,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,Company chooses not to provide a public response,Wells Fargo,TX,78255,Web,11/23/2015,Closed with explanation,Yes,,1667492
11/22/2015,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,,Company chooses not to provide a public response,TransUnion,MO,65679,Web,11/22/2015,Closed with non-monetary relief,Yes,,1667210
11/22/2015,Credit reporting,,Incorrect information on credit report,Account status,,,Equifax,NM,875XX,Web,11/22/2015,Closed with explanation,Yes,,1667095
11/22/2015,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,,,Equifax,WA,98374,Web,11/22/2015,Closed with explanation,Yes,,1667266
11/22/2015,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,,,American Coradius International LLC,GA,301XX,Web,11/22/2015,Closed with explanation,Yes,,1667177
11/22/2015,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,,,"Credit Systems International, Inc.",TX,76692,Web,11/22/2015,Closed with explanation,Yes,,1667219
11/22/2015,Credit reporting,,Incorrect information on credit report,Account terms,,,Equifax,TX,786XX,Web,11/22/2015,Closed with explanation,Yes,,1667317
11/22/2015,Credit reporting,,Incorrect information on credit report,Account terms,,,Equifax,MD,207XX,Web,11/22/2015,In progress,Yes,,1667278
11/22/2015,Credit reporting,,Credit reporting company's investigation,Investigation took too long,,Company chooses not to provide a public response,TransUnion,PA,191XX,Web,11/22/2015,Closed with explanation,Yes,,1667137
11/22/2015,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,,,Equifax,NC,282XX,Web,11/22/2015,In progress,Yes,,1667076
11/22/2015,Credit reporting,,Credit monitoring or identity protection,Problem with fraud alerts,,Company chooses not to provide a public response,TransUnion,CA,910XX,Web,11/22/2015,Closed with explanation,Yes,,1667295
11/22/2015,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,,,PNC Bank,IL,605XX,Web,11/22/2015,Closed with explanation,Yes,,1667082
11/22/2015,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,Company believes it acted appropriately as authorized by contract or law,"First National Collection Bureau, Inc.",TN,376XX,Web,11/22/2015,Closed with explanation,Yes,,1667172
11/22/2015,Debt collection,Credit card,Taking/threatening an illegal action,Threatened to sue on too old debt,,Company chooses not to provide a public response,U.S. Bancorp,MN,553XX,Web,11/23/2015,Closed with explanation,Yes,,1667487
11/22/2015,Credit reporting,,Incorrect information on credit report,Account status,,,Equifax,NM,871XX,Web,11/22/2015,Closed with explanation,Yes,,1667207
11/22/2015,Credit reporting,,Credit reporting company's investigation,Investigation took too long,,Company chooses not to provide a public response,TransUnion,PA,191XX,Web,11/22/2015,Closed with explanation,Yes,,1667286
11/22/2015,Credit card,,Customer service / Customer relations,,,Company chooses not to provide a public response,Citibank,WA,980XX,Web,11/22/2015,Closed with explanation,Yes,,1667223
11/22/2015,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,,,Equifax,GA,300XX,Web,11/22/2015,Closed with non-monetary relief,Yes,,1667309
11/22/2015,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,,Company disputes the facts presented in the complaint,"The CMI Group, Inc.",OH,441XX,Web,11/22/2015,Closed with non-monetary relief,Yes,,1667224
11/22/2015,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,,,JPMorgan Chase,CA,950XX,Web,11/22/2015,Closed with explanation,Yes,Yes,1667232
11/22/2015,Credit reporting,,Incorrect information on credit report,Public record,,,Equifax,NV,895XX,Web,11/22/2015,Closed with explanation,Yes,,1667228
11/22/2015,Debt collection,Non-federal student loan,Cont'd attempts collect debt not owed,Debt was discharged in bankruptcy,,,"Convergent Resources, Inc.",IA,516XX,Web,11/23/2015,Closed with explanation,Yes,Yes,1669403
11/22/2015,Credit card,,Delinquent account,,,Company believes it acted appropriately as authorized by contract or law,Sterling Jewelers Inc.,KS,660XX,Web,11/23/2015,Closed with explanation,Yes,,1668826
11/22/2015,Debt collection,Credit card,Taking/threatening an illegal action,Threatened to sue on too old debt,,Company believes it acted appropriately as authorized by contract or law,Rodenburg LLP,MN,553XX,Web,11/23/2015,Closed with explanation,Yes,,1667486
11/22/2015,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Equifax,OR,975XX,Web,11/23/2015,Closed with explanation,Yes,,1667506
11/22/2015,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,,,Equifax,SC,290XX,Web,11/23/2015,In progress,Yes,,1667437
11/22/2015,Credit reporting,,Incorrect information on credit report,Information is not mine,,Company chooses not to provide a public response,TransUnion,TX,770XX,Web,11/23/2015,Closed with explanation,Yes,,1667498
11/22/2015,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,,,JPMorgan Chase,TX,774XX,Web,11/23/2015,In progress,Yes,,1667495
11/22/2015,Credit card,,Sale of account,,,Company believes it acted appropriately as authorized by contract or law,Army and Air Force Exchange Service,AP,963XX,Web,11/23/2015,Closed with explanation,Yes,,1667493
11/22/2015,Mortgage,Other mortgage,Settlement process and costs,,,,Ocwen,FL,327XX,Web,11/23/2015,Closed with explanation,Yes,,1667166
11/21/2015,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,,,Equifax,IL,61080,Web,11/21/2015,In progress,Yes,,1666654
11/21/2015,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,Company believes it acted appropriately as authorized by contract or law,Stellar Recovery Inc.,IL,60563,Web,11/22/2015,Closed with explanation,Yes,,1667274
11/21/2015,Consumer loan,Installment loan,Problems when you are unable to pay,,,,Navy FCU,AL,361XX,Web,11/24/2015,In progress,Yes,,1666825
11/21/2015,Debt collection,,Disclosure verification of debt,Right to dispute notice not received,,,"EOS Holdings, Inc.",MD,20716,Web,11/22/2015,Closed with explanation,Yes,Yes,1667079
11/21/2015,Consumer loan,Vehicle loan,Problems when you are unable to pay,,,Company chooses not to provide a public response,"AFS Acceptance, LLC",AZ,85233,Web,11/21/2015,Closed with explanation,Yes,,1666839
11/21/2015,Debt collection,"Other (phone, health club, etc.)",Communication tactics,Used obscene/profane/abusive language,,Company believes it acted appropriately as authorized by contract or law,"Amsher Collection Services, Inc.",MO,647XX,Web,11/25/2015,Closed with explanation,Yes,,1666667
11/21/2015,Credit reporting,,Credit monitoring or identity protection,Problem with fraud alerts,,,Equifax,CA,92658,Web,11/22/2015,Closed with explanation,Yes,Yes,1667096
11/21/2015,Credit reporting,,Incorrect information on credit report,Public record,,,Equifax,NM,87594,Web,11/22/2015,Closed with explanation,Yes,,1667099
11/21/2015,Debt collection,,Disclosure verification of debt,Right to dispute notice not received,,Company believes complaint caused principally by actions of third party outside the control or direction of the company,"Kenneth, Eisen & Associates, Ltd.",AZ,851XX,Web,11/25/2015,Closed with explanation,Yes,,1666787
11/21/2015,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,Company believes it acted appropriately as authorized by contract or law,"McCarthy, Burgess & Wolff, Inc.",CA,96160,Web,11/21/2015,Closed with explanation,Yes,,1666831
11/21/2015,Credit reporting,,Incorrect information on credit report,Public record,,Company chooses not to provide a public response,TransUnion,NM,87594,Web,11/22/2015,Closed with non-monetary relief,Yes,,1667100
11/21/2015,Credit reporting,,Incorrect information on credit report,Public record,,,Equifax,NY,11798,Web,11/21/2015,Closed with explanation,Yes,,1666940
11/21/2015,Credit reporting,,Incorrect information on credit report,Account status,,,TransUnion,MD,21801,Web,11/22/2015,In progress,Yes,,1667091
11/21/2015,Student loan,Non-federal student loan,Dealing with my lender or servicer,,,,Transworld Systems Inc.,CA,94551,Web,11/30/2015,In progress,Yes,,1666658
11/21/2015,Debt collection,"Other (phone, health club, etc.)",False statements or representation,Attempted to collect wrong amount,,,"United Collection Bureau, Inc.",IN,46561,Web,11/21/2015,Closed with explanation,Yes,,1666861
11/21/2015,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Equifax,IA,50263,Web,11/21/2015,Closed with explanation,Yes,Yes,1666643
11/21/2015,Credit card,,Credit card protection / Debt protection,,,Company chooses not to provide a public response,Citibank,TX,78617,Web,11/21/2015,Closed with explanation,Yes,,1666891
11/21/2015,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,,,Equifax,GA,31905,Web,11/21/2015,In progress,Yes,,1666816
11/21/2015,Credit reporting,,Incorrect information on credit report,Account terms,,,Equifax,OR,97034,Web,11/21/2015,Closed with non-monetary relief,Yes,,1666954
11/21/2015,Credit reporting,,Incorrect information on credit report,Information is not mine,,Company believes complaint caused principally by actions of third party outside the control or direction of the company,"Credit Karma, Inc.",FL,33063,Web,11/21/2015,Closed with explanation,Yes,,1666811
11/21/2015,Credit reporting,,Incorrect information on credit report,Personal information,,,Equifax,MN,55439,Web,11/22/2015,Closed with explanation,Yes,Yes,1667123
11/21/2015,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,Company chooses not to provide a public response,Flagstar Bank,MI,48602,Web,11/21/2015,Closed with explanation,Yes,,1666838
11/21/2015,Consumer loan,Vehicle lease,Managing the loan or lease,,,,Ally Financial Inc.,NM,87120,Web,11/21/2015,In progress,Yes,,1666921
11/21/2015,Mortgage,Other mortgage,Settlement process and costs,,,,Navy FCU,MD,21229,Web,11/21/2015,In progress,Yes,,1666903
11/21/2015,Credit reporting,,Incorrect information on credit report,Account status,,,Equifax,MD,20744,Web,11/21/2015,Closed with explanation,Yes,,1666642
11/21/2015,Credit reporting,,Incorrect information on credit report,Public record,,Company chooses not to provide a public response,TransUnion,OH,454XX,Web,11/21/2015,Closed with explanation,Yes,,1666934
11/21/2015,Debt collection,Medical,Communication tactics,Frequent or repeated calls,,Company believes it acted appropriately as authorized by contract or law,"Retrieval-Masters Creditors Bureau, Inc.",NC,27107,Web,11/23/2015,Closed with explanation,Yes,,1666841
11/21/2015,Credit reporting,,Incorrect information on credit report,Information is not mine,,Company chooses not to provide a public response,TransUnion,FL,33707,Web,11/21/2015,Closed with non-monetary relief,Yes,,1666968
11/21/2015,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,Company disputes the facts presented in the complaint,"Nationwide Credit & Collection, Inc.",IL,604XX,Web,11/21/2015,Closed with explanation,Yes,Yes,1666681
11/21/2015,Bank account or service,Checking account,Deposits and withdrawals,,,Company chooses not to provide a public response,Wells Fargo,FL,342XX,Web,11/21/2015,Closed with explanation,Yes,,1666799
11/21/2015,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Ocwen,CA,954XX,Web,11/21/2015,Closed with explanation,Yes,,1666785
11/21/2015,Credit card,,Transaction issue,,,,Amex,CO,801XX,Web,11/21/2015,Closed with explanation,Yes,,1666821
11/21/2015,Bank account or service,Checking account,Problems caused by my funds being low,,,,JPMorgan Chase,FL,333XX,Web,11/21/2015,Closed with monetary relief,Yes,,1666935
11/21/2015,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,CA,926XX,Web,11/21/2015,In progress,Yes,,1666939
11/21/2015,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,,Company chooses not to provide a public response,TransUnion,MN,550XX,Web,11/21/2015,Closed with explanation,Yes,,1666873
11/21/2015,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,,Company chooses not to provide a public response,"Contract Callers, Inc.",GA,303XX,Web,11/21/2015,Closed,Yes,,1666871
11/21/2015,Payday loan,,Charged fees or interest I didn't expect,,,Company believes it acted appropriately as authorized by contract or law,"Harpeth Financial Services, LLC",TN,370XX,Web,11/22/2015,Closed with explanation,Yes,,1667321
11/21/2015,Credit reporting,,Incorrect information on credit report,Personal information,,,Equifax,NC,275XX,Web,11/21/2015,Closed with explanation,Yes,,1666847
11/21/2015,Debt collection,Medical,False statements or representation,Attempted to collect wrong amount,,Company chooses not to provide a public response,DRS Financial LLC,NJ,083XX,Web,11/21/2015,Closed with explanation,Yes,,1666908
11/21/2015,Credit reporting,,Incorrect information on credit report,Account terms,,Company chooses not to provide a public response,TransUnion,FL,342XX,Web,11/21/2015,Closed with explanation,Yes,,1666884
11/21/2015,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Equifax,SC,296XX,Web,11/21/2015,Closed with non-monetary relief,Yes,,1666885
11/21/2015,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,"Convergent Resources, Inc.",VA,220XX,Web,11/22/2015,Closed with explanation,Yes,,1667111
11/21/2015,Mortgage,Home equity loan or line of credit,Settlement process and costs,,,,Flagstar Bank,MI,481XX,Web,11/23/2015,In progress,Yes,,1666840
11/21/2015,Consumer loan,Vehicle loan,Managing the loan or lease,,,,Santander Consumer USA,DE,197XX,Web,11/25/2015,Closed with explanation,Yes,,1666897
11/20/2015,Credit reporting,,Incorrect information on credit report,Account status,,,Equifax,WA,98902,Web,11/21/2015,Closed with explanation,Yes,,1666749
11/20/2015,Bank account or service,Checking account,Deposits and withdrawals,,,,"Empowerment Ventures, LLC",PA,194XX,Web,11/24/2015,In progress,Yes,,1665116
11/20/2015,Mortgage,Conventional fixed mortgage,Credit decision / Underwriting,,,,"Fay Servicing, LLC",NJ,7728,Web,11/25/2015,Closed with explanation,Yes,Yes,1664892
